Location,lat,lon
lawrence at yonge,43.7248496,-79.4023944
southvale and millwood,,
lawrence and crockford,,
kennedy and finch,,
canniff and strachan,43.6415857,-79.4119043
victoria park and rowe,,
pape and harcourt,,
morrish and ellesmere,,
royal crest and highwa,,
arrow gate,,
finch and milvan,,
st clair and st columb,,
bellamy and lawrence,,
harbord and ossington,,
atlantic and liberty,,
st dennis and eglinton,,
keele and juncion,,
bombay loop,43.7435318,-79.4243005
steeles and kipling,,
kingston and warden,,
weston and imogene,,
steeles and keele,,
finch and islington,,
kipling and albion,,
dufferin station,43.6602635,-79.4353869
leslie and wicksteed,,
martingrove and lexing,,
trethewey and greentre,,
sheppard and allen,,
john garland and marti,,
queens quay and richar,,
weston and steeles,,
danforth and greenwood,43.6826286,-79.3343655
huntingwood and kenned,,
pharmacy and ellesmere,,
warden and fawndale,,
gerrard and victoria p,,
albion and armel,,
gateway and don mills,,
steeles and hwy 27,,
weston and rogers,,
roywood dr and fenside,,
179 broadview ave,43.66109,-79.35023
eglinton and richardso,,
duffering at bridgelan,,
yonge and queens quay,,
birchmount and lawrenc,,
concord and wynford,,
scarborough towne cent,,
hillcrest - duncan sho,,
centennial college loo,,
sheppard ave w and sen,,
keele and steeles,,
eastern acres loop,,
vaughan and st. clair,,
vaughan and arlington,,
haldon ave and cosburn,,
peter kaiser and steel,,
don mills rd and grayd,,
lakeshore and miles,,
roywood and fortrose,,
islington and the west,,
eglinton and wynford,,
birchmount and steeles,,
sheppard and wilson,,
bellamy and corporate,,
gerrard and jones,,
tapscott and steeles,,
humber college loop,,
dixon and martin grove,,
bathurst and antibes,,
warden and highway 7,,
rexdale and martin gro,,
st clair and oakwood,,
bathurst and clark,,
eglinton and bermondse,,
lawrence and dufferin`,,
humberline and finch,43.734318,-79.6126151
lawrence and allen,,
sheppard and banting,,
mccowan and kingston,,
finch and arrow,,
ossington and eglinton,,
ellesmere and midland,43.7684827,-79.270448
victoria park and st c,,
hollinger and bermonds,,
annette and jane,,
dixon and celestine,,
neilson and tapscott,,
yorkdale rd and yorkda,,
sheppard and mccowan,,
dawes and danforth,,
cassandra and underhil,,
sheppard and vitti,,
dundas and dufferin,,
kipling and belfield,,
mccowan and wilfred mu,,
morningside and old fi,,
humber college and hum,,
horner and kipling,,
kipling and horner,,
kingston and rylander,,
avenue and glenview,,
humber college blvd an,43.7325038,-79.609553
arrow and finch,,
mccowan and triton,,
mccowan and sheppard,,
humber college at humb,,
evans and islington,,
wynford and concord,,
wynford and concord pl,,
downsview park station,43.7535983,-79.4784098
meadowvale and lavert,,
faywood and wilson,,
queens quay and parlia,,
lansdowne and dupont,,
lawrence and marlee,,
front and parliament,,
don mills and eglinton,,
bathurst and don lake,,
eglinotn west station,,
coxwell and queen,,
york mills,43.7440375,-79.4060726
bloor and wilmar,,
albion and shendale,,
elmhurst and albion,,
albion and weston,,
4110 lawrence av e,43.767404,-79.1939611
malvern garage`,,
rouge hill go transit,,
reddins and crossland,,
morningview and mornin,,
sheppard and markhan,,
steeles and staines,,
finch and bayview,,
millwood and overlea,,
oakwood and amherst,,
piuoneer village stati,,
overlea and don mils,,
arrow and deerhide,,
dundas and keele,,
old weston and st. cla,,
islington and resource,,
sherbourne station,43.6722353,-79.3750782
humberwood and view gr,,
finch and norfinch,,
bayview and cummer,,
danforth road and egli,,
castlefrank stn,,
steeles and mccowan,,
dufferin and celt,,
markham and ellesmere,,
danforth and dawes,43.6885785,-79.2967143
vanderhoof and aerodro,,
sheppard and pewter,,
amazon fulfillment cen,43.835785,-79.2421166
kennedy go,43.733246,-79.2625089
bellamy and amberjack,,
jane and st. johns,,
dufferin and gordon,,
west service and st al,,
dufferin and liberty,,
huntingwood and victor,,
kennedy and munham gat,,
aukland and dundas,,
davisville and bayview,,
morningview trail and,,
rogers and keele,,
steeles and highway 27,,
browns line and jellic,,
o'connor and binswood,,
bathurst and eglinton,,
ellesmere and mc cowan,,
yonge and wanless,,
eglintn station,,
danforth and carlaw,,
bomb bay loop,,
browns line and horner,,
south and glen,,
finch and tapscott,,
sheppard and willowdal,,
high park and glenlake,,
steeles and signet,,
laird and millwood,,
kipling and hinton,,
queensway and ellis,,
kpling and steeles,,
springhurst loop,,
don mills and barber g,,
dundas station,43.6565367,-79.3810223
finch and westmore,,
morningside and sheppa,,
eglinton and mt plesan,,
morningside and kingst,,
lansdowne and seaforth,,
kennedy and ncnicholl,,
pritchard and palestin,,
lawrence and brimley,,
woodbine and o'connor,,
elmhurst and islington,,
rexdale and bergamot,,
york mills and laurent,,
runnymede and henritte,,
cosburn and coxwell,,
kipling and steeles,,
eglinton and scarlett,,
ossington and davenpor,,
kenendy station,,
islington and rexdale,,
wilmington and finch,,
coronation and wallsen,,
upper gerrard and coxw,,
mccowan and steeles,,
carnforth and lawrence,,
rogers and oakwood,,
humber college bus ter,,
oakwood and glenhurst,,
pope john paul ii scho,,
wyndford and eglinton,,
islington and wardlaw,,
avenue and melrose,,
shallmar and bathurst,,
davenport and symingto,,
liberty and atlantic,,
york mills collegiate,43.7519124,-79.3736426
st. clair and oakwood,,
steeles and yonge,,
humberwood and arborwo,,
woodbine racetrack loo,,
st. clair and kennedy,,
sentinel and grandravi,,
eglinton and duplex,,
dufferin and claver,,
danforth rd and eglint,,
sewells and morningsid,,
birchmount and hollis,,
morningside and nights,,
lawrence and bellamy,,
mccowan and lawrence,,
leslie and lawrence,,
keele and sheppard,,
warden and eglinton,,
finch and kipling,,
steeles loop west of m,,
jane and grandravine,,
"broadview ave, jack la",,
markham and nugget,,
sunnyside loop,43.6390261,-79.448194
yonge and eglinton,43.706892,-79.3992228
carlaw and eastern av,,
the chimney stack and,,
the east mall and gibb,,
jane and rita,,
yonge and lawrence,43.706892,-79.3992228
coxwell and strathmore,,
finch west stn,43.76321,-79.4903652
weston and 401,43.7040257,-79.540077
danforth and warden,,
lawrence and yonge,,
yonge and park home av,,
