Location,lat,lon
st. clair east and san,,
woodbine and eastwood,,
midland and silverstar,,
5511 dundas west,43.6312141,-79.5454918
sheppard e and brian,,
kipling and beaverbroo,,
humberline and clairev,,
kenndy station,,
evergreen brick works,43.6842254,-79.3650185
neilson and sewells,,
kingston and old king,,
christie and benson,,
409 to 427 south ramp,,
cactus avenue and gree,,
steeles and marydale,,
midland and lawerence,,
pine and lawerence,,
ian macdondald and van,,
arrow rd and lido rd,,
caledonia and innes av,,
front and cherry,,
wellington and w of yo,,
yeomans and bainbridge,,
edna and dundas west,,
ellesmere and crocus,,
708 coxwell ave,43.6841921,-79.3242741
wilson ave and collins,,
eglinton and old fores,,
highway 409 and martin,,
avenue and cottingham,,
gateway blvd and don m,,
huntingwood and birchm,,
mccowan and 14th ave,,
woodbine and woodbine,,
don mills and clock to,,
lower jarvis and the e,,
albion at islington,43.7371613,-79.5655364
lynedock and roywood,,
islinton and steeles,,
king and the queensway,,
burnhamthorpe and blak,,
vaughan between st cla,,
1521 yonge st,43.6897218,-79.3945788
oakwood and eleanor,,
lawrence and don way,,
don mills and dennis,,
king and tyndall,,
don mills and don way,,
kingston and scraborou,,
comstock and warden,,
humerbline and clairvi,,
tapscott and mcnicoll,,
dufferinand liberty,,
parliament and front,,
jane and nickle,,
danforth and eaton ave,,
st clair and woodrow,,
castle franks station,,
island and port union,,
lonsdale and avenue,,
church and pine,,
senlac and hounslow,,
victoria park and terr,,
dixon and city view,,
wilson bus station low,,
islington and westhamp,,
glen rd and elm ave,,
warden and bridletowne,,
steeles and brimley,,
finchdene at new gale,,
parliament between fro,,
bellemy and ellesmere,,
markham and bullock,,
100 wynford dr,43.726553,-79.331915
gerrard and broadview,,
sheppard and sentiel,,
oriole pkwy and chapli,,
130 arrow road,43.74462,-79.53218
spadina and archer,,
links and lord seaton,,
old weston and davenpo,,
westmore drive and fin,,
lower jarvis and lakes,,
morningside and shappa,,
sherway garderns and s,,
o'connor and warland,,
1451 avenue road,43.7208338,-79.414997
st clair and gidley,,
bloor east and jarvis,,
sheppard west and sent,,
finch west and driftwo,,
finch station - bus pl,,
graydon hall and fenel,,
300 transit,43.74219,-79.45576
steeles and highway 2,,
dixon and st. phillips,,
sheppard east and phar,,
finch west and norfinc,,
finch west and kipling,,
chesswood and vanley,,
dundas and windermere,,
coxwell and danforth a,,
finch east and midland,,
eglnton east and danfo,,
steeles west and capst,,
dundas and royal york,,
mccowan loop,,
kennedy and oxbridge,,
sheppard east and park,,
st clair and glenburn,,
the links and tourname,,
islington and rathrbur,,
the esplanade and chur,,
jane and lawrence west,,
lawrence and greer,,
weston road and bradst,,
eglinton and eden vall,,
weston and coulter ave,,
steeles east and shadl,,
pharmacy and craigton,,
kipling statin,,
avenue rd and davenpor,,
railside and lawrence,,
weston and jubliee,,
kingston and queen,,
mccowan and scarbrorou,,
windermere ave and win,,
yorkmills and old yong,,
queens park crt,,
bathurst and clark ave,,
bloor and gardenvale (,,
yonge and steeles (s o,,
kipling and steeles we,,
finch and tappscott rd,,
warden and danforth av,,
allen road,43.7490852,-79.4630181
sheppard east and yong,,
steeles east and milli,,
ellesmere and mirrow c,,
eglinton west and dupl,,
dundas west and clende,,
dufferin and overbrook,,
gerrard and coxwell,,
markham and steeles ea,,
foxwell and scarlett,,
gerrard and river,,
the westway and celest,,
the westway and brampt,,
torbarrie and sergio m,,
beresford and mornings,,
warden and mack,,
warden and bamblett,,
warden and blamblett,,
steeles east and hende,,
lawrence west and jane,,
university and college,43.7983269,-79.3908551
queen east and kingsto,,
cordova and dundas wes,,
triton and brimely,,
tritoin and brimley,,
sheppard and lamont,,
front and parliaiment,,
warden and lowcrest,,
birchmount and rolark,,
humberwood loop (s of,,
pleasant and yonge,,
kingston and fallingb,,
military trail and u o,,
oakwood and eglinton w,,
york mills road,43.7493389,-79.3807927
lynedock and fenside,,
mcnicoll and leslie,,
kipling and eglinton w,,
finch east and dudley,,
mcnicoll and don mills,,
freshmeadows and don m,,
ossington stn,43.6623549,-79.4262318
markham and centre,,
belfield and martin gr,,
military trail loop,,
steeles and warden loo,,
gerrard east and osbor,,
victoria park and n of,,
grenoble dr and spanbr,,
murison and breckon,,
passmore and middlefie,,
steeles and and turff,,
queen's park crescent,43.6651805,-79.3939917
commissioners and lesl,,
wilson and highway 401,,
highway 409 and highwa,,
leslie and commissione,,
cosburn and linsmore,,
n w gate and steeles,,
bloor and acorn ave,,
steeles and gaudaur rd,,
kipling and stevenson,,
sherppard and lapsley,,
alness and york univer,,
davnenport and walmer,,
humberwood blvd abd ki,,
duferin adn orfus,,
dixon and 427,,
474 oakwood ave,43.69038,-79.44013
bathurst and glengrove,,
manse and lawrence eas,,
lakeshore west and 8th,,
victoria parks and daw,,
dupont and bathurst,,
wilson stn upper,43.7349317,-79.4510828
finch east and trudy,,
finch east and kennedy,,
queen west and peter,,
bathurst and finch wes,,
hilda and steeles west,,
university to toronto,43.6629864,-79.4020697
gateway south and gren,,
don mills and the don,,
the west way and winco,,
highway 400 and sheppa,,
avenue and dupont,,
sheppard east and brim,,
jane and steeles west,,
woodbine and lumsden,,
queens quay and freela,,
maple leaf anf culford,,
crow trail and neilson,,
locust lodge and stanl,,
vaughan and humewood,,
jane and queens dr,,
scarborough center,43.7235499,-79.3173991
silver dart and jetlin,,
dupont station,43.6747046,-79.406983
bamburgh circle and wa,,
ellesmere and wye vall,,
steeles loop (east sid,,
45 ironside cresent,,
hulmar and bloomington,,
4578 yonge street,43.7564845,-79.4102398
fenside and york mills,,
10 harlandale,43.76238,-79.4113993
humberwood and hullric,,
lakeshore and mimico,,
ossingont and hepbourn,,
markham rd and greenho,,
woodbine and steeles,,
victoria park and ivor,,
old weston and bicknel,,
lansdowne,43.6591114,-79.4427866
finch and sentinal,,
dupont and bathrust,,
trethewey and black cr,,
aveune rd and lawrence,,
st mathews and gerrard,,
eastern and lower coxw,,
don mills and greene,,
dixon rd and celestine,,
lower coxwell and east,,
ellesmere and calthorp,,
west mall and leavenwo,,
yok mills and leslie,,
yorkdale mall loop,,
kennedy and huntingwoo,,
albion rd and shendale,,
st clair and cotton av,,
eglinotn and keele,,
kingston and dale,,
marlee and livingstone,,
lawrence and susan,,
caledonia rd and bridg,,
st clair and squires,,
caladonia and lotherto,,
commonwealth and bruss,,
lansdowne loop,,
yonge and kingsdale av,,
yonge and wood,,
kipling station - 49 b,,
gerrard and fairhead m,,
dufferin and lindsey,,
cherry and mill street,,
sheppard and w of kenn,,
lawrence and homestead,,
don mills and skymark,,
yonge and carlton,43.6613855,-79.3828914
queen and broadview,,
old yonge and york mil,,
don lake and bathurst,,
military train and e o,,
don valley brickwork p,,
sloane and elvaston,,
starpray loop,,
rylander and kington,,
queen and ashdale,,
hupfield and sewells,,
meadowale and generati,,
broadview and jack lay,,
barthurst and briar hi,,
grenoble and st dennis,,
lawrence west and glen,,
martingrove/steeles lo,,
mcnicoll and maybrook,,
miliken and mcnicoll,,
cherry and mill,,
peckham and cactus,,
cherry beach,43.6370143,-79.3438162
o connor and beechwood,,
jane and drifwood,,
steeles and janes,,
mount pleasant and mou,,
caledonia and bentwort,,
van horne and brian,,
river and dundas,,
humberwood and vaughan,,
parliament and doctor,,
progress and midland,,
greenfield and yonge,,
brimley and comrie ter,,
caslte frank station,,
yonge and eglinton (so,,
sheppard and rean,,
kipling and namco,,
townsley substation (s,,
weston rd and starview,,
bathust and steeles,,
oriole pkwy and lonsda,,
littles and sewells rd,,
attwell and carlingvie,,
reddins rd and pharmac,,
mccowan and raymervill,,
humber college and blv,,
victoria park and lynv,,
saulter and lake shore,,
sheppard west and wils,,
steeles east and dair,,
martin grove and lexin,,
university and queens,,
janea nd weatherell,,
birchmount and highgat,,
rogers and boon,,
vaughan and northcliff,,
islington and bering,,
jane and hanley,,
pharmacy and kellyvale,,
humberwood and humberl,,
thistle down and kenhi,,
finch and ardwick (e o,,
danforth and mack (e o,,
mound dennis garage,,
mlarvern garage,,
steeles and pearce,,
keele and annetteb,,
scarborough cnetre sta,,
wilson station to anca,,
oriole pkwy and anders,,
the east mall and burn,,
harvey shop (door #10),,
east malle and burnham,,
yorkdale at go termina,,
highway 401 and warden,,
wellness way and hospi,,
york mill station,,
triton and brimleyh,,
sheppard west and down,,
bayview and sunnydene,,
mt pleasant and davisv,,
eglinton and westover,,
rough hill station,,
queen and macdonell,,
lawrence east and carn,,
dundas west and indian,,
steeles and village ga,,
lawrence west and marl,,
wellsworth and rangoon,,
taposcott and select,,
markham and nashdeen,,
scaraborugh college lo,,
bombay loop (avenue an,,
cactus and pleasant,,
strachan and wellingto,,
steeles yonge loop,,
mccowan and bellamy,,
scarboroug centre stat,,
waterbury and clarion,,
120 cartwright ave,43.72263,-79.46583
duncanwoods and finch,,
spadina and old forest,,
hillcrest yard,,
airport and america,,
humbrline and finch,,
cherry and mills stree,,
finch and tiffield,,
queen and queensway,,
o'connor and wakunda,,
don mills and duncan m,,
dufferin and goodwood,,
queen and macdonelle,,
sloane and kenewen,,
sutherland and millwoo,,
steeles and emerald,,
scarlett and st clair,,
billy bishop and duffe,,
sunny brook hospital,,
kennedy and cowdray,,
rexleigh and ferris,,
seasons and oasis blvd,,
vaughan and winona,,
kipling and widdecombe,,
arrow and driftwood,,
eglinton west and chap,,
culford rd and lawrenc,,
ellesmere substation,,
kingston and dorset,,
gerry fitzgerrald and,,
john garland and kipl,,
keele and tilbury - n,,
st clair and christie,,
kingston rd and cromwe,,
queen's park circle an,,
islington s of rexdale,43.7172772,-79.5561857
lawrence w of warden,,
college and elizabeth,,
finch and kenneth,,
laird and vanderhoof,,
dawes and rosevear,,
north queen and the qu,,
avenue and douglas,,
don mils station,,
lawrence and bagnato,,
islington and the weat,,
dundas and highway 427,,
moorningside and milit,,
dufferin and morrison,,
neilson and burner,,
parkwoods and brookban,,
lakeshore and thirteen,,
guildwood and chancery,,
yonge and churchill,,
scarborough and meadow,,
scabrorough loop and m,,
lake shore and eighth,,
select and markham,,
sunnbrook hospital,,
universty of toronto s,,
kipling and queen,,
mccowan and shepard,,
zoo rd - the zoo loop,,
rathburn aand the east,,
keele west station,,
jane and hullmark,,
malamute and lynn gate,,
john garland and mart,,
caledonia and schell,,
wilson north bus bay,,
danforth rd and wolfe,,
leslie and longwood,,
kennedy station - b pl,,
rathburn and walkway,,
humbercollege blvd and,,
jane and threthewey,,
st clair and symington,,
islington and queenswa,,
eringate and renforth,,
wicksteed and leslie,,
lawrence andd carnfort,,
kipling and gracey,,
avenue and st. germain,,
islington and st. andr,,
glencairn and danesbur,,
mill and toldeo,,
brandstock and weston,,
the west way and kipli,,
queensway and dorchest,,
cosburn and lankin,,
york mills and dvr,,
queensway and east mal,,
delays - event conquer,,
ellesmere and orton,,
islington station to l,,
mccowan and corporate,,
scabrorough centre sta,,
birchmount and winter,,
pharmacy and florens,,
mccowan and penmarric,,
middlefield and orator,,
bayview and kilgour,,
arrow road and finch,,
bayview and mckee,,
vaughan and connaught,,
wright avenue and jane,,
pharmacy and knightsbr,,
armadale and bloor,,
oconnor and binswood,,
sheppard and commons,,
steeles loop at kiplin,,
47 silver dart dr,43.6833553,-79.5986906
steeles and mccowan lo,,
dixon rd and highway 4,,
millwoood and don vall,,
dufferin and glen bell,,
todd baylis and trethe,,
bathurst and bainbridg,,
meadowvale and dean pa,,
mt pleasant and glen e,,
275 grandravine,43.74795,-79.50879
saulter and lakeshore,,
overlea and william mo,,
davenport and bartlett,,
meadowvale and choicel,,
steeles and turbine,,
lawrence and donway we,,
weston and birdstone,,
wardena dn steeles,,
scarborought town cent,,
wilson yatd,,
steeles and ferrier st,,
esplanade and sherbour,,
driftwood dr and stong,,
weston and lovilla blv,,
hoskins and queen's pa,,
lawrence and englemoun,,
toronto zoo bus loop,43.8188518,-79.1793149
avenue and anderson,,
moore park and hilda,,
steeles and esna park,,
eglinton and hakimi,,
phamacy and teesdale,,
avenue and bombay (bom,,
westhumber and moon va,,
wilson and agate rd,,
orfus and caledonia,,
dockside and queens qu,,
yonge and yonge,43.6602305,-79.3824708
sheppard and aragon,,
new delhi and markham,,
danforth rd and hart (,,
wilson and collinson,,
kipling and steeles (l,,
sunnybrook hospital (r,,
sgnet and steeles,,
lawrence and green ced,,
birchmount and merryfi,,
yonge and manor,,
easrlscourt loop,,
kingston and celeste d,,
brimely and finch,,
hotspur and neptune,,
avenue and boswell,,
bathurst and melrose,,
30 tuxedo court,43.7813187,-79.2295029
spadina and ardmore,,
sheppard east and morn,,
sheppard west and keel,,
jane and eglinton west,,
commiccioners and saul,,
lawrence west and duff,,
st. clair east and vic,,
york mills and lochniv,,
evans and north carson,,
finch west and edithva,,
"eglinton, west of lesl",,
king and jefferson,,
steeles west,43.787022,-79.4687011
milwood bridge,,
albion and finch west,,
kiplng and brookmere,,
jane and denison,,
dundas west and pacifi,,
victoria park and amst,,
weston and keele,,
moringside and staines,,
bloor and prince edwar,,
midland and st calir,,
mccown and milner,,
coronation and wallese,,
queen east and jones,,
kipling and evan,,
st. clair west and twe,,
jane and strong,,
kipling and kingsview,,
renforth and hwy 427,,
nightstar and mantis,,
military trail and gla,,
meadowvale loop at met,,
steeles west and marti,,
lawrence west and keel,,
dundas west and auklan,,
oakdale and sheppard w,,
humberline and clairvi,,
royal york road,43.6207289,-79.5002739
marting grove and stee,,
bloor west and islingt,,
railside and codeco,,
king and sherourne,,
bloor west and dundas,,
bloor west,43.6550365,-79.4597233
yonge and summerhil,,
yonge and aylmer,,
baathurst and elderwoo,,
kennedy staion,,
danforth and emmott,,
steeles west and pine,,
keele and highway 401,,
caledonia and bridgela,,
bayview and broadway,,
finch west and jane,43.7583131,-79.5126575
front and bayview,,
wilson and stadacona,,
islington and gosfield,,
queens plate and janda,,
central park and islin,,
361 west mall (west ma,,
ossington and queens p,,
midland and ellsemere,,
islington and islingto,,
sheppard east and glen,,
keele and george apple,,
royal york and treehor,,
alboin and silver ston,,
westumber and delsing,,
edna and dundas,,
eglinton and st dennis,,
perason terminal #3,,
colonel samuel and lak,,
colonel sam smith park,,
weston and signet,,
plaxton and st clair,,
weston and st. clair w,,
weston between coulter,,
warden stn,43.7104304,-79.2799968
cummer and willowdale,,
pape and minton,,
royal york and symons,,
colonel samuel and hum,,
finch ave west,43.7662594,-79.4788144
steeles east and middl,,
mount pleasant and mer,,
kingston and mccowan,,
kipling statioin,,
markham and highglen,,
dupont and spadin,,
mt pleasent and merton,,
eglinton west and tret,,
bayview and heathcote,,
mt pleasent rd and mt,,
the don way east and l,,
breecroft and sheppard,,
lawrence east and elin,,
st clair w and bathurs,,
parliament and queens,,
eglinton west and emme,,
perason airport termin,,
finch west and dufferi,,
deerford and van horne,,
avenue and glencairn,,
progress and william k,,
kingston and valhalla,,
northover and slater,,
o'connor dr and glenwo,,
parliament and the esp,,
sheppard west and bath,,
gary and meadow oak,,
dufferin and davenpor,,
kipliing and albion,,
clairville and humberl,,
royal york and royalei,,
pelmo and uphill,,
kennedy statiom,,
dixon and dixington,,
don mills and goodview,,
finch and sentinel (we,,
toryork and weston,,
duffering and holmesda,,
mornginside and nights,,
dufferin and glengrove,,
parkwood village and b,,
clark and york hill,,
windemere and mornings,,
finsh west station,,
danforth rd and weathe,,
lawrence and dufflaw,,
commercial and laird,,
finch and carney,,
st clair and old stock,,
millwood and pape,,
underhill and brookban,,
westwood square,,
millwood and airdrie,,
leslie and coming,,
jane and downsview par,,
markham and lawrencewe,,
benny stark and turnbe,,
sheppard and allenford,,
murison and milner,,
jane and st johns,,
avenue and lawerence,,
jane and yorkwoods,,
kennedy and lawnrece,,
lawerence and keele,,
princes' gate loop,,
princess gate loop,,
dundas and high park,,
woodbine beach,43.6618577,-79.3072766
royal york and westway,,
milwood and pape,,
weston and fern,,
lakeshore and queens a,,
wilson and bill bishop,,
lesmill and duncan mil,,
danforth and blanche,,
wilson statin,,
leslie and cummer,,
milner and burrows,,
lawrence and ainsdale,,
the esplanade and lowe,,
courlands and halfway,,
weston rd and west tor,,
victoria park and casa,,
bathust station,,
unavailable,,
lawerene and warden,,
summerhill and maclenn,,
sheppard and rainbow r,,
bloor and dundas west,,
vision degradation,,
yonge and maitland,,
bathust and lonsmound,,
broadview and torrens,,
morningside and stains,,
steeles and capstan ga,,
silverdale and york mi,,
weston rd and rogers,,
bicknell and rogers,,
pape and o'conner,,
lawrence and cedarbrae,,
eglinton and red path,,
eglinton and eastbourn,,
old weston and rowntre,,
pape and upton,,
east liberty and king,,
weston and king st,,
weston rd and woodbrid,,
steeles and old weston,,
overlead and thornclif,,
whitehorse rd and rimr,,
yonge and the esplanad,,
yonge and the esplande,,
paasmore and milliken,,
passmore and miliken,,
makrham and select,,
arrow and bartor,,
sheppard and yukon ln,,
mccoawan and mcnicoll,,
berkley and the esplan,,
broadview and hillside,,
oriole and gormley,,
cresant and lundy,,
mill loop,43.6507982,-79.3566662
58 marine parade drive,43.627486,-79.4768228
don mills and mallard,,
arrow and lido,,
washburn and tapscott,,
2695 danforth,43.6887501,-79.2984398
markham and markhana,,
lakeshore and bay,,
wright and gibson,,
ossington and harbord,,
davenport and bristol,,
highway 401 and kingst,,
eglinton and taunton,,
morningside anfd night,,
indian grove and bloor,,
stephen and queensway,,
cannif and liberty,,
consumers road and yor,,
kingston and resthaven,,
leslie and talwood,,
caledona and bowie,,
don mills and helen lu,,
donlands and o'conner,,
overlea and gateway,,
mill and bloor,,
kipling and snaresbroo,,
kipling and snarebrook,,
willow ridge and richg,,
adelaide and york,43.6428411,-79.4148928
calvington and lexfiel,,
dawes and secord,,
kipling and hayhurst,,
mantis and poppy place,,
mantise and poppy,,
o'connor and milton,,
mortimer and coxwell,,
brimley and gully,,
yonge and crescent,,
mcnicoll and myers lan,,
steeles and jewell,,
2776 dundas st west,43.665438,-79.461659
weston and reuben,,
eslande and princess,,
york mills station to,43.7440375,-79.4060726
markham and major mcke,,
islington and blooe,,
brimley and huntingwoo,,
queensway and lady ban,,
dundas and highway 27,,
eglinton and comstock,,
bay and lake shore,,
stentinel and pond,,
breckon and murrison,,
o connor and glenwood,,
finch and brahms,,
staines and seasons,,
major mackenzie and ra,,
morningside and panam,,
lakeshore and spadina,,
wellesworth and torrin,,
bloor and old mill,,
wilson heights blvd,43.7540781,-79.4587877
wilson and cornelius,,
midland and norbury,,
bathurst and arcina,,
sjppard and jane,,
lansdowne and dundas s,,
main stn,43.8199228,-79.1814626
baturst and glencairn,,
mcniocll garage,,
spadina and bernard,,
royal york and glenroy,,
woodbine and o connor,,
bayview and steeles lo,,
morninside and finch,,
royalcrest rd and high,,
graydon hill and karen,,
lawrence and little,,
the bridle walk and dr,,
grantbrook and finch,,
college station,43.6606617,-79.3827952
neilson and wickson tr,,
st clairstation,,
queens quay and harbou,,
queens quay and ferry,,
scarborough twon centr,,
kennedy station- platf,,
mimico and wheatfield,,
thorncliffe park and g,,
bloor and collage,,
mccowan and anson,,
caladonia and rogers,,
eglinton and hakim,,
$0 rivalda rd,43.7432417,-79.5360877
bayview and ruddington,,
bedford and dupont,,
wilson and oakland,,
highway 27 and and hum,,
caldedonia and kitchen,,
coulter and weston,,
sherbourne and wellese,,
port union and lawrenc,,
wilson,43.7344762,-79.4500619
wilson garage track 12,,
st clair and plaxton,,
pearson airport t 1,,
yonge and abitibi,,
steeles loop at martin,,
bathurst and ridgewood,,
cherry and commissione,,
birchmount and comstoc,,
broadview and mortimer,,
churchill and victory,,
dufferin and playfair,,
1692 dufferin st,43.67828,-79.44334
lawrence and elinor,,
yonge and front,,
danforth and guest,,
carrier and dansk cour,,
donway and dutch myrtl,,
westway and saskatoon,,
berry rd and glenn mur,,
rougehill go station,,
broadview and nealon,,
eglinton east route,,
e liberty st and strac,,
benton and colville,,
rogers and caledonia,,
oasis and seasons,,
cne loop eastern entra,,
nw gate and steeles,,
streetcar way - 831,,
humberine and s of fin,,
ellesmere and mornelle,,
dundas west and kiplin,,
cherry street and cher,,
terminal 1 person airp,,
calvington and exbury,,
lawrence and westonia,,
sheppard and min,,
sheppard and murison,,
steeles and bestview,,
queens park cres and h,,
bathurst and york down,,
st. clair and santamon,,
208 bloor street,43.6685376,-79.3958877
birchmount and mills,,
mimico and queens,,
lawrence and ridgewood,,
kingston and old kings,,
oconnor and sunrise,,
kiping and brookmere,,
n queen and east mall,,
harbord and brunswick,,
kipling and mt olive,,
mcnaughton and airport,,
cactus and drewry,,
brichmount and comstoc,,
centenery hospital loo,,
howard and sherbourne,,
stc,43.7754419,-79.2577414
wood and yonge,43.6616254,-79.3829338
silver bell lane and h,,
5 st regis crescent,43.7548244,-79.4871765
shepard west station,,
hollinger and waterman,,
washburn way and shepp,,
lakeshore and bouchett,,
markham and sheppard e,,
wilson training centre,,
2470 finch west,43.74955,-79.55543
york mills and chipste,,
old mill,43.649826,-79.4943338
bathurst and heathdale,,
lawson and highland,,
weston and eglinton we,,
sheppard east and mead,,
weston rd and church,,
highway 27 and humber,,
mountcastle gate and s,,
cosburn and roblin,,
humberiine and finch,,
kingston and mason,,
chrsitie and barton av,,
mccowan and landmark,,
lake shore and martin,,
eglnton station,,
jane n of st clair,,
bay and st basil,,
george appleton way an,43.7253298,-79.4807678
transit and allen,,
dupont and edwin,,
humber college`,43.7299048,-79.6015296
lawrence and manse,,
dundas west and wilmar,,
sheppard west and arro,,
midland and steeles ea,,
bay and queen west,,
sherway garden and she,,
queensway and stock,,
morningside and cornat,,
bay and richmond,,
neilson and walkway,,
liberty and pardie,,
overlea and thorcliff,,
mcrae and rumsey,,
lawrence and eglinton,,
580 commissioner stree,,
mclevin and malvern,,
bayview and wellness l,,
jane and bloor west,,
berry and prince edwar,,
lawernce and dufferin,,
ellesmere and brimely,,
lawson and highway 2,,
manse and copperfield,,
royal york and queenwa,,
washburn and sheppard,,
bridgeland adn caledon,,
st. clair west and jan,,
kipling and lakeland (,,
kipling and rowntree,,
401 and kennedy,,
cosburn and oak park,,
bathurst and helena,,
york mills and lesmill,,
160 carrier,43.7426526,-79.6120377
old stock yard and st,,
don mills and seneca,,
leeds and ossington,,
glen orchy and royal o,,
lawrence west and aven,,
lawrence east and east,,
lawrence east and kenn,,
welland and heath,,
norfinch and steeles w,,
leslie and overland,,
raab and hospital west,,
jane and john beth,,
kennedy and flora,,
jane and sheppard west,,
trethewey and todd bay,,
queen and pape,,
kipling and redwater,,
major mackenzie and mc,,
main station station,43.6490317,-79.3779719
st clair and doris,,
old kingston & between,,
guildwood and galloway,,
66 ray avenue,43.69204,-79.49181
sheppard and yeomans,,
subway ops building,,
davenport and avenue r,,
new cherry and commiss,,
dufferin and evesfiled,,
parkside and geoffrey,,
spadina and kendal,,
john garland and james,,
lansdowne and dundas w,,
runnnymede and dundas,,
staines and warbler,,
humber college and hig,,
markland and mill,,
birchmound and ellesme,,
birchmount and winterm,,
dufferin and roselawn,,
bathurst and carpenter,,
mcnicoll and silver sp,,
symingon and bloor,,
bridgepoint hospital,43.6665464,-79.3545801
kipling and westway,,
finch and bridletown c,,
nirchmount and rouge,,
huntingwood and warden,,
keele and toro,,
dufferfin and whitmore,,
island and east ave,,
lansdowne between dupo,,
steeles at futurity ga,43.7863935,-79.4744052
emmett and veroma,,
dufferin and parr,,
52 allen rd,43.7514384,-79.4635431
st clair and brimely,,
dufferin and kennard,,
liberty and duffering,,
brimley and golden gat,,
runnymede and st john,,
birchmount and foxrid,,
evans and beta,,
church and esplanade,,
o'connor and amsterdam,,
wilson and mathews gat,,
humberline and college,43.734318,-79.6126151
kingston and fenwood,,
avenue loop,43.7566739,-79.6077571
steeles and redley,,
tapscott and lighthall,,
murison and breckon ga,,
eglinton and colin,,
donway and duncairn,,
markham and orchid,,
scaborough centre stat,,
norfinch and steeles,,
jarvis and carlton,43.6623778,-79.3768631
?,43.6534817,-79.3839347
the donway west and do,,
dixon and albion,,
dundas and humbercrest,,
mcnichol garage,,
finchdene and torham,,
mccowan unionville,,
gerrard and rathmore,,
brimely and eglinton,,
sheppard and idagove g,,
finch and damascus,,
millwood and dvp,,
mccowan and middlefiel,,
keele and four winds d,,
st regis and tuscan,,
ranee and mikado,,
the west mall and the,,
steeles and milliken g,,
dufferin and whitmore,,
antibes dr and torresd,,
3399 bloor st w,43.6443638,-79.5240715
ossington and arglyle,,
kipling and evans (sou,,
vaughan and lane east,,
the queensway and sher,,
miltary trail and bobm,,
steeles loop (islingto,,
york mills and victori,,
airport and ripon,,
dixon and golfwood,,
wasdale and neptune,,
bloor and montrose,,
bloor and neilson dr,,
st.clair and danforth,,
arleta and spanbridge,,
wellesley station - ca,43.6655242,-79.3838011
oriole parkway and col,,
finch and arkwick,,
midland and south shie,,
651 humberwood blvd,43.72467,-79.62153
bathurst and douglas,,
cosburn and glebemount,,
steeles and settler (p,,
dundas and church,43.6563129,-79.3767053
oakwood and conway,,
kingston and military,,
progress and centennia,,
greenwin village rd,43.7909806,-79.4433186
wynford and sakura way,,
downsview park,43.7535997,-79.4789448
brimley and barkdene,,
trethewey and arena (e,,
keele and diana,,
sheppard west stn,43.7497578,-79.4624165
queen and woodbine,,
lawrence - bolingbroke,,
bathurst and raeburn,,
markham and parkway,,
yorkdale go,43.7259463,-79.448834
king west and queenswa,,
west mall and eva,,
royal york and lambeth,,
263 carrier,43.75154,-79.61452
markham and castlemore,,
sheppard west and yuko,,
leslie and lawrence ea,,
bayview and armistice,,
1635 lawrence west,43.7046189,-79.4919987
ossington and baden,,
bellamy north and burn,,
braodview and danforth,,
steeles loop and martn,,
mt. pleasant and manor,,
finch west and milady,,
danforth and falmouth,,
steeles east and woodb,,
finch west and albion,,
finch west and bathurs,,
woobine station,,
sheppard west and jane,,
wellness and hospital,,
rogers and rosethorn,,
humberwood college,,
victoria and lawrence,,
lawrence east and rodd,,
lynedock and climans,,
york mill and don mill,,
elmhursy and islington,,
finch east and neilson,,
duffern and jane osler,,
1692 dufferin,43.67828,-79.44334
both ways on liberty s,,
wilson gatehouse,,
northumberland and oss,,
lawrence and rouge hil,,
highway 427 and eglint,,
king and queen (west e,,
royalcrest and hwy 27,,
craigton and rannick,,
eglinton and caldeonia,,
deerhide and arrow,,
ossinton station,,
major mackenzie and ma,,
midland and eglinton e,,
pond and sentinel,,
finch west and sentine,,
lawrence west and gree,,
sheppard west and laur,,
thorncliffe parl and o,,
avenue and hillhurst,,
eglinton and montcalm,,
dufferin and stayner,,
dufferin and weller la,,
sheppard and yorkland,,
millwood bridge and do,,
hullmar and ruthmar,,
cherry st and lake sho,,
jane and raven,,
sheppard east and idag,,
tretheway and eglinton,,
lower spadina and quee,,
senlac and ellerslie,,
kipling and wingrove h,,
albion and bankfield d,,
ingram and keele,,
liberty and hanna,,
wilson and pertherhill,,
lakeshore and small,,
beth neilson and wicks,,
scarborough town sentr,,
wglinton and jane,,
jane and beverly hills,,
dindas west station,,
windermere and winderm,,
pharmacy and alvinston,,
townsley loop - old we,,
pharmacy and reddins,,
hupfield trail and swe,,
2 ray ave,43.6889578,-79.4942232
kipling station (w ser,,
249 john garland,43.73282,-79.59308
yorkdale and dufferin,,
barber greene and sout,,
986 king st,43.6417297,-79.4142424
macdonald and queen,,
235 sherway gardens,43.6092484,-79.5589877
on bus,43.6558494,-79.3804463
kennedy and highway 4,,
finch and baylawn,,
16th and markham,,
bombay loop and avenue,,
albion and arnel court,,
patten bld,,
thorncliffe and grands,,
markham and 16th ave,43.6477704,-79.4055242
jane and n of wilson,,
avenue rd and roselawn,,
sheepard and lamont,,
airport and amarican,,
laird and esandar,,
passmore and state cro,,
mccowan and steeles lo,,
russell and eglinton,,
queen and monro,,
kingston and celest,,
st clair between herro,,
eglinton and kinston,,
anglesey and pinehurst,,
commissioner and carla,,
rouge go station,43.780695,-79.1301614
york mills and hedgewo,,
christie and lambertlo,,
steele and dufferin,,
lawrence and brimfores,,
