location,location_id
EVANS AND KIPLING,256
PARK AND WESTON,257
YONGE,258
JANE AND SHOREHAM,259
HOLGATE AND ISLINGTON,260
ALBION AND WALSH,261
BRIAN DRI AND SHEPPARD,262
MCNICOLL GARAGE,263
MORNINGVIEW TRAIL,264
FORTUNE CR AND ROYWOOD,265
CARRIER AL,266
BELMONT AND DAVENPORT,267
VAN AND VICTORIA PARK,268
KIPLING AND THE QUEEN STATION,269
DUNDAS STATION AND RUNNYMEDE,270
OAKWOOD AND VAUGHAN,271
DUFFERIN AND LAWRENCE STATION,272
DON MILLS AND LEITH HI,273
BAYVIEW STATION,274
MCCOWAN AND SANDHURST,275
DON MIL AND YORK MILLS,276
FARMVIEW CRESCENT,277
BEECROFT AND SHEPPARD,278
CNE LOOP EASTERN ENTRA,279
ST CLAIR STATION,280
ST CLAIR AND TWEEDSMUI,281
DUFFERIN AND SPRINGHUR,282
DUNDAS STATION W STATION,283
NEW GALE GATE AND TAPS,284
BATHURST AND WILSON STATION,285
O CONNOR AND ST CLAIR,286
STEELES LOOP AND YONGE,287
CHAPLIN AND YONGE,288
MARTIN GROVE AND STEELES,289
WILLIAM CARS AND YONGE,290
UNIVERITY OF TORONTO,291
BATHURST AND GLENCAIRN STATION,292
BOWIE AND DUFFERIN,293
ROYAL YORK AND YORKLEI,294
LAKE SHORE AND SAULTER,295
LONSDALE AND SPADINA,296
BIRCHMOUNT AND SADLER,297
DUFFERIN AND WILSON STATION,298
DANFORTH AND WARDEN,299
LAWRENCE AND RALPH,300
BELLAMY AND ELLESMERE,301
BATHURST AND DUPONT STATION,302
ARROW AND FINCH STATION,303
PHARMACY AND SHEPPARD,304
MARILYN AND ST CLAIR,305
SCUNTHORP AND SHEPPARD,306
FIREBRACE AND STEELES,307
DUNDAS STATION AN E MALL,308
DON MILLS STATION AND STEELES,309
NUGGET AND TRANSFER,310
DAVENPORT AND DUFFERIN,311
HAGERVILLE AND RANGOON,312
BROADVIEW AND DON VALL,313
ALBION AND HUMBERLINE,314
AUCKLAND AND DUNDAS,315
KEELE STATION AND ROGERS,316
SCARBOROUGH TOWN CENTE,317
ANNETTE AND DUNDAS,318
BLOOR AND JANE,319
COXWELL AND DANFORTH,320
DUNDAS STATION AND YONGE,321
FINCH STATION AND HUMBERLINE,322
LESLIE STATION AND YORK MILLS,323
COLONEL SAMUEL SMITH P,324
COLONEL SAMUEL LOOP L,325
DYNAMIC AND MCNICOLL,326
MEAD AND VICTORIA PARK,327
COMSTOCK AND WARDEN,328
ALBION AND LUND,329
CALEDONIA AND LAWRENCE,330
