stop_id,stop_name,stop_lat,stop_lon
348,Markham Rd at Lawrence Ave East,43.759679,-79.225072
352,Opposite 111 Disco Rd,43.700349,-79.599302
358,Culford Rd at George Anderson Dr,43.703148,-79.486494
360,Warden Ave at Glenbourne Park Dr,43.882273,-79.34063
361,Finch Ave East at Bridletowne Circle (East),43.797673,-79.312116
364,Ellesmere Rd at Zaph Ave,43.79184,-79.166565
365,185 Yorkland Blvd,43.771262,-79.335442
368,Eglinton Ave West at Islington Ave,43.679694,-79.539176
369,Victoria Park Ave at Dawes Rd,43.706606,-79.294903
376,Main St Markham North at Ramona Blvd - Markham GO Station,43.88287,-79.261889
382,Dixon Rd at Wincott Dr,43.695627,-79.552328
386,St Clair Ave East at Andrew Ave,43.720079,-79.244714
387,Kipling Ave at Genthorn Ave,43.723547,-79.572536
391,Opposite 225 Carrier Dr,43.749175,-79.615811
397,Lansdowne Ave at Davenport Rd,43.671425,-79.448192
401,Ellesmere Rd at Morrish Rd,43.790274,-79.173121
403,Eglinton Ave West at Scarlett Rd,43.683789,-79.511557
404,Weston Rd at Bartonville Ave West,43.689401,-79.496555
406,Evans Ave at Sherway Gate West Side,43.609022,-79.556933
408,Finch Ave West at Halesia Dr,43.733658,-79.606898
416,Triton Rd at Brimley Rd,43.773658,-79.261533
417,Belfield Rd at Shaft Rd West Side - Etobicoke North GO Stati,43.704066,-79.566634
418,Islington Ave at Kingsview Blvd,43.699602,-79.547712
419,Kipling Ave at Redwater Dr,43.715401,-79.568295
422,North Queen St at Medulla Ave,43.62126,-79.54552
425,Victoria Park Ave at Meadow Ave,43.681801,-79.28454
428,Belfield Rd at Shaft Rd - Etobicoke North GO Station,43.703944,-79.566147
430,75 Norfinch Dr,43.759874,-79.528818
431,Royal York Rd at Yorkleigh Ave,43.694243,-79.531969
432,275 Grandravine Dr,43.74816,-79.508358
436,Progress Ave at William Kitchen Rd West Side,43.770157,-79.27927
440,Arrow Rd at Pemican Crt North Side,43.749441,-79.532558
442,Ellesmere Rd at Dolly Varden Blvd West Side,43.775797,-79.235291
448,Thirtieth St at Elder Ave,43.597687,-79.530664
452,Horner Ave at Connorvale Ave,43.605477,-79.528801
453,Eglinton Ave East at Jonesville Cres,43.725127,-79.306649
454,Islington Ave at The Westway South Side,43.68824,-79.542872
459,Victoria Park Ave at Combermere Dr South Side,43.7558,-79.314681
461,Pape Ave at Harcourt Ave,43.677622,-79.344439
462,Bayview Ave at Cummer Ave,43.792145,-79.393441
465,480 Gordon Baker Rd,43.809298,-79.345222
467,Scarlett Rd at Foxwell St South Side,43.66854,-79.501042
471,Steeles Ave East at Lillian St East Side,43.799781,-79.41153
473,Steeles Ave West at Murray Ross Pkwy,43.776613,-79.516784
475,Finch Ave West at Humber College Blvd East Side,43.733914,-79.609339
477,Carlton St at Ontario St,43.663621,-79.37064
480,Dundas St West at Royalavon Cres,43.645406,-79.531899
481,Finch Ave West at Tangiers Rd,43.764272,-79.488069
484,Bathurst St at Marquette Ave,43.734195,-79.433342
485,Victoria Park Ave at Swanwick Ave,43.685254,-79.285963
486,Steeles Ave East at Putnam Gate,43.822702,-79.311866
491,Harbord St at St George St,43.663842,-79.398673
494,McCowan Rd at Raymerville Dr (North),43.881381,-79.28777
497,Sheppard Ave East at Murison Blvd West Side,43.798969,-79.214298
499,Steeles Ave West at Emerald Lane,43.793572,-79.440815
500,Eglinton Ave West at Martin Grove Rd East Side,43.674419,-79.562591
501,Opposite 685 Finch Ave West - St Bernard's Residence,43.771053,-79.457455
502,Driftwood Ave at Wilmont Dr,43.759887,-79.516325
503,Eglinton Ave East at Torrance Rd West Side,43.739553,-79.235824
504,Bayview Ave at Millwood Rd,43.70415,-79.374446
505,Albion Rd at Sanagan Rd,43.738903,-79.576364
506,2040 Don Mills Rd,43.763142,-79.347344
510,Sheppard Ave East at Walkway to Howell Sq,43.797075,-79.22322
513,Sheppard Ave East at Walkway to Hutcherson Sq,43.797653,-79.220285
514,Lawrence Ave West at Brucewood Cres,43.71859,-79.432803
515,Sheppard Ave East at Murison Blvd East Side,43.799156,-79.212357
516,North Queen St at The Queensway,43.614581,-79.5565
518,Yonge St at Wellesley St East - Wellesley Station,43.664812,-79.38436
522,Albion Rd at Carrier Dr,43.745412,-79.61457
523,Ellesmere Rd at Packard Blvd,43.770694,-79.257782
525,Kipling Ave at Kidron Valley Dr,43.756076,-79.588057
530,Warden Ave at Apartments (South of Finch),43.794836,-79.315109
532,Bathurst St at Shelborne Ave,43.715842,-79.428833
533,Jane St at Stanley Rd,43.743153,-79.514309
534,Finch Ave West at Goldfinch Crt East Side,43.772257,-79.450489
536,Dufferin St at Auburn Ave,43.675621,-79.442182
539,East Ave at Maberley Cres (North),43.785051,-79.133342
543,Finch Ave West at Virgilwood Dr - North York General Finch B,43.772698,-79.448324
545,East Ave at East Willow Gate,43.787304,-79.134296
547,Ossington Ave at Dundas St West,43.649438,-79.420865
550,Kipling Ave at Rathburn Rd,43.659757,-79.542992
552,Bathurst St at Wilson Ave,43.737188,-79.433814
557,Ellesmere Rd at Military Trail (East),43.786439,-79.188422
558,Lawrence Ave East at Meadowvale Rd,43.775359,-79.156006
559,Wellesley St West at Queen's Park Cres East East Side,43.663633,-79.390156
561,Wilson Ave at Murray Rd,43.729408,-79.471718
563,Victoria Park Ave at Ivordale Cres (South) South Side,43.752862,-79.313674
569,Davisville Ave at Bayview Ave West Side,43.702938,-79.374563
575,Keele St at Grandravine Dr,43.751925,-79.487981
