route,location_id
25,17266
25,17271
25,17294
25,17335
25,17497
25,17633
25,17668
25,17669
25,18007
25,18050
25,18062
25,18150
25,18187
25,18194
25,18417
25,18530
25,18657
25,18660
25,18661
25,18732
25,18876
25,18952
25,19034
25,19063
25,19092
25,19101
25,19163
25,19177
25,19215
25,19258
25,19275
25,19350
25,19378
25,19480
25,19533
25,19577
25,19636
25,19702
25,19841
25,19904
25,19909
29,1
29,11
29,21
29,25
29,39
29,53
29,54
29,68
29,75
29,77
29,78
29,86
29,105
29,107
29,116
29,141
29,142
29,149
29,177
29,188
29,192
29,214
29,217
29,221
29,222
29,226
29,258
29,272
29,282
29,285
29,293
29,298
29,302
29,311
29,318
29,330
29,336
29,344
29,361
29,364
29,368
29,372
29,381
29,393
29,427
29,432
29,433
29,465
29,472
29,474
29,549
29,557
29,596
29,609
29,622
29,640
29,642
29,655
29,662
29,675
29,682
29,766
29,776
29,784
29,790
29,801
29,823
29,825
29,841
29,846
29,853
29,856
29,860
29,874
29,891
29,918
29,948
29,956
29,972
29,985
29,992
29,1007
29,1026
29,1028
29,1035
29,1054
29,1070
29,1094
29,1095
29,1108
29,1116
29,1127
29,1146
29,1174
29,1189
29,1193
29,1215
29,1229
29,1274
29,1292
29,1298
29,1326
29,1335
29,1352
29,1353
29,1358
29,1364
29,1408
29,1434
29,1436
29,1444
29,1465
29,1497
29,1518
29,1553
29,1558
29,1571
29,1593
29,1599
29,1620
29,1643
29,1647
29,1651
29,1656
29,1666
29,1668
29,1676
29,1718
29,1745
29,1763
29,1777
29,1797
29,1826
29,1913
29,1914
29,1916
29,1936
29,1972
29,1982
29,2020
29,2027
29,2054
29,2062
29,2096
29,2097
29,2152
29,2164
29,2269
29,2289
29,2302
29,2314
29,2321
29,2327
29,2345
29,2353
29,2361
29,2405
29,2420
29,2455
29,2462
29,2518
29,2521
29,2556
29,2586
29,2601
29,2613
29,2619
29,2628
29,2633
29,2656
29,2718
29,2726
29,2736
29,2753
29,2767
29,2773
29,2807
29,2818
29,2877
29,2941
29,2990
29,3030
29,3032
29,3080
29,3094
29,3140
29,3141
29,3184
29,3211
29,3215
29,3247
29,3256
29,3292
29,3326
29,3337
29,3344
29,3386
29,3399
29,3408
29,3415
29,3449
29,3652
29,3670
29,3712
29,3747
29,3755
29,3770
29,3797
29,3817
29,3838
29,3857
29,3865
29,3907
29,3943
29,3945
29,3966
29,3969
29,4021
29,4052
29,4054
29,4073
29,4079
29,4081
29,4085
29,4148
29,4167
29,4301
29,4311
29,4407
29,4469
29,4520
29,4573
29,4583
29,4644
29,4649
29,4670
29,4671
29,4678
29,4680
29,4687
29,4693
29,4759
29,4800
29,4820
29,4990
29,5006
29,5025
29,5101
29,5110
29,5119
29,5153
29,5165
29,5173
29,5187
29,5204
29,5214
29,5251
29,5254
29,5269
29,5285
29,5333
29,5410
29,5458
29,5539
29,5619
29,5633
29,5666
29,5741
29,5757
29,5834
29,5946
29,6259
29,6285
29,6329
29,6402
29,6462
29,6528
29,6555
29,6577
29,6624
29,6794
29,6810
29,6851
29,6861
29,6874
29,6933
29,6972
29,7116
29,7129
29,7131
29,7158
29,7267
29,7306
29,7341
29,7357
29,7367
29,7419
29,7436
29,7473
29,7491
29,7587
29,7649
29,7715
29,7827
29,7877
29,7901
29,7965
29,7983
29,8080
29,8109
29,8115
29,8218
29,8227
29,8327
29,8356
29,8397
29,8398
29,8482
29,8527
29,8536
29,8546
29,8549
29,8570
29,8648
29,8650
29,8663
29,8685
29,8766
29,8779
29,8844
29,8914
29,8923
29,8978
29,9063
29,9110
29,9244
29,9353
29,9578
29,9744
29,9792
29,9809
29,9827
29,9962
29,10007
29,10058
29,10186
29,10250
29,10314
29,10421
29,10435
29,10513
29,10587
29,10706
29,10724
29,10738
29,10823
29,10830
29,10869
29,10876
29,11102
29,11119
29,11126
29,11179
29,11208
29,11227
29,11299
29,11345
29,11347
29,11487
29,11543
29,11577
29,11583
29,11602
29,11635
29,11674
29,11719
29,11797
29,11940
29,11996
29,12019
29,12141
29,12152
29,12154
29,12162
29,12279
29,12280
29,12378
29,12530
29,12636
29,12677
29,12735
29,12809
29,12824
29,12835
29,12843
29,12915
29,12922
29,12963
29,13008
29,13045
29,13056
29,13104
29,13272
29,13312
29,13489
29,13519
29,13531
29,13662
29,13726
29,13742
29,13745
29,13782
29,13849
29,13875
29,13921
29,13922
29,13929
29,13946
29,13977
29,13981
29,13996
29,14002
29,14043
29,14045
29,14079
29,14152
29,14189
29,14250
29,14285
29,14313
29,14335
29,14345
29,14370
29,14388
29,14461
29,14462
29,14482
29,14550
29,14577
29,14620
29,14656
29,14661
29,14681
29,14682
29,14704
29,14712
29,14732
29,14758
29,14775
29,14799
29,14972
29,14987
29,15021
29,15051
29,15057
29,15078
29,15085
29,15122
29,15137
29,15146
29,15185
29,15194
29,15204
29,15246
29,15287
29,15344
29,15368
29,15394
29,15515
29,15533
29,15613
29,15622
29,15645
29,15682
29,15692
29,15700
29,15736
29,15815
29,15982
29,15990
29,16174
29,16183
29,16226
29,16232
29,16343
29,16349
29,16377
29,16504
29,16605
29,16745
29,16762
29,16827
29,16844
29,17029
29,17143
29,17433
29,17617
29,17640
29,17686
29,17876
29,17926
29,18036
29,18042
29,18080
29,18108
29,18125
29,18227
29,18317
29,18321
29,18422
29,18435
29,18487
29,18505
29,18525
29,18547
29,18683
29,18733
29,18816
29,18847
29,18953
29,19028
29,19035
29,19130
29,19161
29,19166
29,19185
29,19396
29,19409
29,19437
29,19521
29,19546
29,19634
29,19650
29,19663
29,19666
29,19733
29,19795
29,19807
29,19923
29,19942
29,19973
29,19999
29,20004
29,20045
29,20050
29,20061
29,20191
29,20196
32,1
32,2
32,3
32,5
32,9
32,11
32,18
32,20
32,25
32,26
32,39
32,48
32,50
32,63
32,66
32,67
32,69
32,72
32,77
32,85
32,88
32,95
32,105
32,115
32,117
32,121
32,135
32,141
32,142
32,152
32,159
32,179
32,180
32,185
32,207
32,216
32,221
32,222
32,255
32,256
32,258
32,271
32,280
32,298
32,316
32,330
32,332
32,343
32,344
32,348
32,360
32,372
32,381
32,397
32,418
32,427
32,436
32,438
32,448
32,451
32,462
32,465
32,469
32,473
32,484
32,506
32,530
32,535
32,557
32,564
32,588
32,590
32,594
32,646
32,675
32,686
32,704
32,708
32,750
32,756
32,770
32,788
32,792
32,801
32,804
32,807
32,821
32,860
32,865
32,902
32,912
32,913
32,918
32,922
32,948
32,957
32,960
32,968
