trip_id,route_id,route_short_name,route_long_name,route_color,route_text_color,direction_id,scheduled_hour,dir_E,dir_N,dir_S,dir_W,dir_UNKNOWN
64650080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
61976010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
64922020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
71465020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
55000070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
71482020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,1,0,1,0,0,0
55087010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
61581070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
55590070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
62144020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
65821020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
72273010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
58552070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
68074020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
68585020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
70912070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
59955010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
66116070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
95360020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
56055010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
95860080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
66207070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
96157010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
56602010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
96293070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
66684070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
96561020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
66964080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
98016010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
67356020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
98535070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
67442010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
96667070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
5750080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
89496080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
57590080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
97985020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
57598080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
90147080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
67822020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
90236080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
57899080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
98265070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
70949010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
90366080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
7098070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
90718010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
80348010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
87592070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
71107070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
87674070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
7156070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
88042070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
80938070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
88525020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
81144070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
80325080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
81195080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
88669020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
67702020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
89065080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
67715070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
80932020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
67721020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
83788010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
77205010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
92211080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
67983080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
84540070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
68126070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
92753010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
80176010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
31790020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
6713020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
31944070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
67140020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
35178020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
67058020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
35283080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
76166070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,1,0,1,0,0,0
35291070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
66770070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
45102070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
62800080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
3533070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
72814070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
35416070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
7308020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
35606010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
77364010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
30157080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
85580080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
37006070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
86112070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
30242010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
78052010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
39816020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
81635020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
39970020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
7600010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
4998070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
76114080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
50563070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
7673080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
51289010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
