route,location_id,avg_gap,median_gap,avg_delay,median_delay,major_delay_rate,gapping_rate,bunching_rate,n_incidents
929,7928,19.964,16.0,13.091,8.0,0.127,0.127,0.164,55
53,23453,22.058,14.0,11.769,7.0,0.163,0.288,0.163,104
63,23993,18.551,18.0,10.959,9.0,0.184,0.122,0.163,49
47,14948,29.58,30.0,16.462,16.0,0.14,0.126,0.161,143
929,7987,18.242,16.0,12.048,8.0,0.129,0.097,0.161,62
96,26464,32.215,35.0,18.796,20.0,0.226,0.065,0.161,93
929,8053,16.323,16.0,9.339,8.0,0.065,0.032,0.161,62
68,25419,41.68,40.0,21.24,22.0,0.16,0.24,0.16,25
54,15260,24.32,22.0,12.52,11.0,0.16,0.12,0.16,25
96,12540,34.44,40.0,19.48,20.0,0.16,0.04,0.16,25
63,19004,16.302,18.0,9.444,9.0,0.095,0.079,0.159,63
85,21904,29.474,26.0,17.018,13.0,0.175,0.123,0.158,57
85,17246,26.914,30.0,13.993,15.0,0.105,0.072,0.158,152
924,4719,17.711,20.0,8.921,10.0,0.105,0.026,0.158,38
939,10487,28.686,23.0,18.143,11.5,0.243,0.243,0.157,70
85,21694,29.235,27.0,17.039,15.0,0.216,0.176,0.157,51
53,17164,21.219,13.5,10.625,6.5,0.094,0.312,0.156,32
32,9216,25.375,24.0,14.219,12.0,0.156,0.125,0.156,32
52,15114,30.0,36.0,15.778,19.0,0.111,0.022,0.156,45
63,18694,16.578,16.0,9.978,9.0,0.067,0.022,0.156,45
37,20414,30.0,31.5,16.594,18.0,0.094,0.0,0.156,32
38,17364,29.115,29.0,16.038,14.5,0.231,0.192,0.154,26
85,21870,27.365,24.0,15.519,12.0,0.135,0.115,0.154,52
73,12490,43.0,47.0,23.615,23.5,0.115,0.077,0.154,26
929,8092,18.769,16.0,11.462,8.0,0.077,0.077,0.154,26
133,18252,20.308,22.5,11.346,11.5,0.077,0.038,0.154,26
39,10374,25.808,30.5,13.154,15.5,0.154,0.0,0.154,26
97,22910,60.988,56.0,32.4,30.0,0.2,0.235,0.153,85
54,15211,24.635,27.0,12.8,14.0,0.176,0.165,0.153,85
85,21859,26.838,24.0,14.566,12.0,0.101,0.101,0.152,99
63,18699,19.141,18.0,11.022,9.0,0.141,0.098,0.152,92
52,15222,33.457,36.0,17.576,18.0,0.172,0.053,0.152,151
925,5380,19.109,20.0,10.022,10.0,0.304,0.043,0.152,46
12,4719,37.152,40.0,19.826,20.0,0.239,0.022,0.152,46
73,3153,36.394,40.0,20.606,23.0,0.152,0.0,0.152,33
36,10475,16.075,12.0,10.585,6.0,0.208,0.264,0.151,53
85,17236,26.269,28.0,13.376,15.0,0.065,0.043,0.151,93
7,3864,17.753,20.0,9.086,10.0,0.043,0.032,0.151,93
94,11690,38.05,34.0,25.85,17.5,0.15,0.1,0.15,20
96,13247,31.6,39.5,17.35,20.0,0.15,0.05,0.15,20
7,21684,18.75,20.0,10.3,10.0,0.1,0.05,0.15,20
35,12926,16.75,16.0,9.2,8.0,0.1,0.05,0.15,20
63,9529,17.75,20.0,8.85,10.0,0.1,0.05,0.15,20
24,4719,18.872,20.0,10.915,10.0,0.234,0.106,0.149,47
108,7769,33.493,40.0,18.687,20.0,0.149,0.045,0.149,67
960,23479,21.568,20.0,12.728,10.0,0.272,0.173,0.148,81
63,18674,20.444,20.0,12.074,10.0,0.185,0.16,0.148,81
85,21767,30.037,24.0,17.37,12.0,0.148,0.148,0.148,27
96,26548,36.492,40.0,20.59,20.0,0.213,0.098,0.148,61
32,8922,22.4,24.0,12.852,12.0,0.155,0.077,0.148,155
165,18931,17.259,15.0,10.407,7.0,0.037,0.037,0.148,27
68,25433,45.676,40.0,23.147,20.0,0.206,0.235,0.147,34
34,8950,20.5,20.0,10.147,10.0,0.118,0.147,0.147,34
47,8579,25.353,24.0,13.544,12.0,0.059,0.029,0.147,68
29,7905,19.021,16.0,10.917,8.0,0.25,0.208,0.146,48
929,7924,20.438,16.0,13.375,8.0,0.104,0.083,0.146,48
36,10684,15.935,12.0,8.677,6.0,0.161,0.274,0.145,62
54,15337,24.818,22.0,12.727,11.0,0.145,0.145,0.145,55
47,14963,27.841,28.0,14.933,16.0,0.103,0.072,0.144,195
45,14386,37.905,32.0,27.238,16.0,0.333,0.524,0.143,21
85,21743,33.571,38.0,17.5,20.0,0.429,0.357,0.143,42
39,10669,42.095,36.0,28.952,18.0,0.381,0.286,0.143,21
43,9789,24.229,20.0,12.857,11.0,0.286,0.257,0.143,35
54,9148,30.929,22.0,17.357,11.0,0.179,0.25,0.143,28
29,7889,19.762,16.0,11.762,8.0,0.238,0.238,0.143,21
32,9131,24.171,24.0,12.914,12.0,0.171,0.114,0.143,35
94,25629,34.321,34.5,22.179,16.0,0.179,0.107,0.143,28
37,12536,37.381,40.0,23.952,20.0,0.19,0.048,0.143,21
89,25836,18.667,20.0,10.286,10.0,0.095,0.048,0.143,21
29,7961,14.286,16.0,7.143,8.0,0.048,0.048,0.143,21
52,15230,31.107,34.0,16.321,17.0,0.286,0.036,0.143,28
63,19017,18.016,18.0,10.46,9.0,0.063,0.032,0.143,63
96,26633,31.677,39.5,16.744,20.0,0.105,0.003,0.142,344
72,11081,35.282,39.0,20.436,19.5,0.5,0.692,0.141,78
960,23323,17.797,18.0,9.891,10.0,0.188,0.078,0.141,64
25,11063,17.513,18.0,8.833,9.0,0.115,0.051,0.141,78
59,9642,60.34,51.0,31.96,26.0,0.36,0.4,0.14,50
52,23974,28.2,18.0,15.6,10.0,0.22,0.18,0.14,50
60,23638,18.3,18.0,10.58,9.0,0.16,0.08,0.14,50
54,15371,27.917,28.0,12.722,14.0,0.194,0.25,0.139,36
60,27288,17.361,18.0,8.917,9.0,0.056,0.028,0.139,36
54,9003,23.828,22.0,12.517,11.0,0.19,0.207,0.138,58
72,4719,17.345,16.0,8.69,8.0,0.103,0.172,0.138,29
54,15346,30.725,28.0,19.51,14.0,0.373,0.314,0.137,51
11,23974,34.838,36.0,17.991,18.0,0.137,0.137,0.137,117
86,14170,22.773,18.0,11.364,9.5,0.045,0.364,0.136,22
24,25035,22.773,20.0,11.636,10.0,0.318,0.273,0.136,22
35,12817,19.409,18.0,10.818,9.0,0.273,0.136,0.136,22
100,5416,18.955,15.0,11.727,8.0,0.136,0.136,0.136,22
89,25963,22.727,20.0,15.318,10.0,0.182,0.091,0.136,22
39,3676,26.273,30.0,14.455,15.0,0.227,0.045,0.136,22
37,20618,38.318,40.0,19.364,20.0,0.136,0.045,0.136,22
89,13482,17.182,20.0,8.591,10.0,0.045,0.0,0.136,22
63,19032,14.318,16.0,6.909,8.0,0.0,0.0,0.136,22
108,7787,28.0,28.5,13.909,14.0,0.0,0.0,0.136,22
59,15222,60.541,60.0,31.811,30.0,0.27,0.324,0.135,37
52,15137,35.757,40.0,20.243,20.0,0.297,0.135,0.135,37
25,9511,17.0,15.5,9.923,8.0,0.212,0.115,0.135,52
52,19515,30.622,30.0,15.568,17.0,0.135,0.027,0.135,37
129,16946,29.955,26.0,16.0,13.0,0.114,0.168,0.134,202
79,21124,36.217,34.0,18.455,17.0,0.015,0.235,0.133,332
52,7323,35.8,36.0,16.8,18.0,0.222,0.067,0.133,45
133,10527,22.664,24.0,11.383,12.0,0.078,0.055,0.133,128
85,21715,24.853,23.0,13.56,12.0,0.08,0.04,0.133,75
35,13076,16.167,16.0,8.7,9.0,0.067,0.033,0.133,30
12,14200,35.467,40.0,21.433,20.0,0.167,0.0,0.133,30
34,9134,18.947,18.0,9.474,9.0,0.158,0.132,0.132,38
32,9218,21.184,22.0,11.053,12.0,0.079,0.026,0.132,38
86,14067,24.913,20.0,12.304,10.0,0.13,0.348,0.13,23
97,27210,70.304,60.0,38.609,30.0,0.304,0.304,0.13,23
79,21340,35.685,30.0,18.167,15.0,0.074,0.222,0.13,54
47,5190,39.913,38.0,24.957,18.0,0.217,0.217,0.13,23
47,5189,31.957,36.0,17.957,18.0,0.217,0.174,0.13,23
47,14943,31.717,32.0,18.391,15.0,0.13,0.13,0.13,46
36,10375,15.739,14.0,9.87,6.0,0.043,0.13,0.13,23
85,21864,32.283,32.0,17.533,16.0,0.13,0.12,0.13,92
85,21965,26.43,24.0,13.98,12.0,0.1,0.1,0.13,100
29,8191,15.478,16.0,8.043,8.0,0.109,0.087,0.13,46
110,14597,37.348,33.0,19.935,21.0,0.239,0.065,0.13,46
32,18058,21.139,20.0,11.472,10.0,0.111,0.056,0.13,108
108,7796,35.348,40.0,20.217,20.0,0.261,0.043,0.13,23
52,24382,30.13,36.0,16.348,18.0,0.087,0.043,0.13,23
53,23595,26.806,19.0,17.29,12.0,0.258,0.323,0.129,31
79,12932,38.645,48.0,19.871,24.0,0.032,0.226,0.129,31
110,12631,35.613,36.0,17.968,18.0,0.194,0.0,0.129,31
39,18252,29.515,34.0,15.059,17.0,0.178,0.0,0.129,101
45,14423,24.231,20.0,15.0,12.0,0.205,0.359,0.128,39
45,14536,20.75,20.0,10.717,10.0,0.089,0.189,0.128,180
29,7923,16.638,16.0,9.83,8.0,0.191,0.17,0.128,47
85,25108,25.564,24.0,13.897,12.0,0.103,0.051,0.128,39
94,19068,30.08,34.0,15.535,18.0,0.043,0.005,0.128,187
52,15313,32.487,38.0,16.385,20.0,0.154,0.0,0.128,39
39,10385,27.679,34.0,13.756,17.0,0.077,0.0,0.128,78
97,27332,67.905,60.0,34.429,30.0,0.286,0.302,0.127,63
52,19528,31.873,35.5,16.458,18.0,0.169,0.068,0.127,118
63,5955,15.587,16.0,8.032,10.0,0.079,0.032,0.127,63
97,7161,62.931,60.0,34.253,30.0,0.23,0.207,0.126,87
59,15695,53.52,52.0,27.298,26.0,0.149,0.169,0.126,302
939,10398,24.45,24.0,12.975,12.5,0.2,0.2,0.125,40
63,20165,26.531,20.0,18.312,10.0,0.219,0.188,0.125,32
32,5651,23.5,23.0,11.917,11.5,0.208,0.167,0.125,24
34,9511,19.5,16.0,11.1,9.0,0.15,0.15,0.125,40
165,3392,16.95,14.5,9.7,7.0,0.3,0.125,0.125,40
165,26377,22.375,20.0,14.281,10.0,0.141,0.125,0.125,64
35,12915,21.0,20.0,12.417,10.0,0.125,0.125,0.125,24
63,18667,19.25,18.0,11.906,9.5,0.188,0.094,0.125,32
85,21941,31.375,30.0,17.875,14.5,0.167,0.083,0.125,24
7,3785,20.0,20.0,10.646,10.0,0.104,0.083,0.125,48
47,22729,31.062,32.0,17.656,15.0,0.094,0.062,0.125,32
960,22450,17.0,16.0,8.531,8.0,0.094,0.062,0.125,32
35,12850,19.322,20.0,10.835,10.0,0.182,0.116,0.124,121
85,21955,28.895,26.0,16.124,15.0,0.171,0.114,0.124,105
11,4350,36.831,36.0,20.369,19.0,0.277,0.246,0.123,65
939,10637,24.548,24.0,14.0,12.0,0.233,0.205,0.123,73
47,14935,31.726,36.0,17.406,18.0,0.189,0.151,0.123,106
35,18808,18.479,18.0,9.616,10.0,0.151,0.137,0.123,73
52,15198,32.123,36.0,16.962,18.0,0.162,0.062,0.123,130
85,21927,26.292,24.0,13.066,12.0,0.085,0.057,0.123,106
7,3880,18.14,20.0,9.561,10.0,0.053,0.035,0.123,57
960,23569,16.772,18.0,9.175,9.0,0.053,0.018,0.123,57
37,12515,35.738,38.0,17.754,19.0,0.092,0.015,0.123,65
52,15122,31.957,36.0,16.754,18.0,0.181,0.014,0.123,138
52,15291,33.71,39.0,17.321,20.0,0.198,0.053,0.122,131
47,14942,27.0,24.0,14.024,12.0,0.073,0.049,0.122,41
63,19068,15.716,18.0,8.015,9.0,0.063,0.048,0.122,458
97,27187,68.061,58.0,35.909,28.0,0.242,0.303,0.121,33
68,25337,38.985,40.0,20.303,20.0,0.121,0.136,0.121,66
96,12120,33.364,40.0,17.303,20.0,0.152,0.03,0.121,33
939,13733,26.36,28.0,14.92,15.0,0.28,0.28,0.12,25
29,7932,19.24,16.0,10.88,10.0,0.32,0.24,0.12,25
40,8360,39.96,30.0,22.76,20.0,0.2,0.08,0.12,25
40,8379,39.22,41.0,20.82,22.0,0.24,0.04,0.12,50
94,5912,29.613,34.0,15.141,17.0,0.023,0.004,0.12,517
43,13704,24.492,20.0,12.524,10.0,0.294,0.286,0.119,126
29,8076,20.714,16.0,12.083,8.0,0.25,0.25,0.119,84
54,15454,26.119,22.0,14.67,11.0,0.183,0.174,0.119,109
39,10504,28.04,32.0,14.515,16.0,0.139,0.03,0.119,101
129,16931,31.941,29.5,16.559,14.5,0.088,0.206,0.118,34
960,23440,20.392,18.0,11.098,9.0,0.176,0.157,0.118,51
89,25871,23.255,20.0,14.549,10.0,0.176,0.098,0.118,51
37,12625,41.686,40.0,23.627,20.0,0.294,0.078,0.118,51
96,26397,33.265,34.5,16.588,19.0,0.176,0.029,0.118,34
96,13516,32.147,34.5,17.147,17.5,0.029,0.029,0.118,34
96,9965,32.059,37.0,16.559,18.5,0.088,0.0,0.118,34
29,8080,18.0,16.0,10.854,8.0,0.165,0.136,0.117,103
94,25637,31.821,40.0,16.422,20.0,0.035,0.012,0.116,173
29,7915,21.276,16.0,12.414,8.0,0.264,0.264,0.115,87
54,15134,26.192,28.0,13.865,14.0,0.212,0.212,0.115,52
102,16431,27.385,22.5,15.231,11.0,0.192,0.192,0.115,26
29,8071,16.038,16.0,7.923,8.0,0.192,0.154,0.115,26
95,27448,22.793,20.0,10.885,10.0,0.115,0.103,0.115,87
929,8043,18.506,16.0,10.966,8.0,0.092,0.069,0.115,87
63,9642,16.847,18.0,8.769,9.0,0.08,0.038,0.115,1237
73,20414,33.577,34.0,21.038,22.0,0.077,0.0,0.115,26
102,16152,44.886,45.0,24.171,28.0,0.514,0.543,0.114,35
68,25323,43.771,40.0,25.8,20.0,0.257,0.257,0.114,35
41,13463,24.023,20.0,13.75,10.0,0.205,0.182,0.114,44
960,23630,18.486,18.0,10.457,9.0,0.143,0.057,0.114,35
110,12544,35.318,36.0,18.784,19.5,0.102,0.011,0.114,88
73,21040,39.831,44.0,20.225,22.0,0.071,0.002,0.114,510
925,7518,18.795,20.0,9.409,10.0,0.159,0.0,0.114,44
32,9111,26.528,24.0,15.792,12.0,0.17,0.151,0.113,53
960,27288,17.461,18.0,9.087,9.0,0.113,0.061,0.113,115
40,8339,42.0,40.0,22.887,20.0,0.245,0.057,0.113,53
939,17895,18.34,16.0,9.453,8.0,0.019,0.019,0.113,53
12,14059,40.488,40.0,20.638,20.5,0.188,0.0,0.112,80
47,5686,35.926,36.0,21.852,18.0,0.185,0.222,0.111,27
45,23455,22.111,20.0,11.944,10.0,0.111,0.194,0.111,36
